Burst Level,1★,2★,3★,4★,5★,6★
1,0,0,0,0,0,0,
2,60,100,300,750,1450,2400,
3,170,250,650,1550,2950,4850,
4,,450,1050,2400,4500,7350,
5,,700,1500,3300,6100,9900,
6,,,2000,4250,7750,12500,
7,,,2550,5250,9450,15150,
8,,,3150,6300,11200,17850,
9,,,3800,7400,13000,20600,
10,,,4500,8550,14850,23400,
11,,,,9750,16750,26250,
12,,,,11000,18700,29150,
13,,,,12300,20700,32100,
14,,,,13650,22750,35100,
15,,,,15050,24850,38150,
16,,,,,27000,41250,
17,,,,,29200,44400,
18,,,,,31450,47600,
19,,,,,33750,50850,
20,,,,,36100,54150,
21,,,,,,57500,
22,,,,,,60900,
23,,,,,,64350,
24,,,,,,67850,
25,,,,,,71400,
