Rank,Exp,Energy,Friend slot
1,-,41,20
2,20,42,20
3,40,43,20
4,70,44,20
5,110,45,20
6,160,46,25
7,220,47,25
8,290,48,25
9,370,49,25
10,460,50,30
11,690,51,30
12,966,52,30
13,1255,53,30
14,1569,54,30
15,1899,55,35
16,2241,56,35
17,2585,57,35
18,2933,58,35
19,3285,59,35
20,3685,60,40
21,4089,61,40
22,4497,62,40
23,4909,63,40
24,5325,64,40
25,5745,65,40
26,6169,66,40
27,6597,67,40
28,7029,68,40
29,7465,69,40
30,7915,70,40
31,8370,71,40
32,8830,72,40
33,9295,73,40
34,9765,74,40
35,10240,75,40
36,10720,76,40
37,11205,77,40
38,11695,78,40
39,12190,79,40
40,12740,80,40
41,13296,81,40
42,13858,82,40
43,14426,83,40
44,15000,84,40
45,15580,85,40
46,16166,86,40
47,16758,87,40
48,17356,88,40
49,17960,89,40
50,18620,90,40
51,18638,91,40
52,18656,92,40
53,18674,93,40
54,18692,94,40
55,18710,95,40
56,18728,96,40
57,18746,97,40
58,18764,98,40
59,18782,99,40
60,18800,100,40
61,19176,101,40
62,19559,102,40
63,19950,103,40
64,20349,104,40
65,20755,105,40
66,21170,106,40
67,21593,107,40
68,22024,108,40
69,22464,109,40
70,22913,110,40
71,23371,111,40
72,23838,112,40
73,24314,113,40
74,24800,114,40
75,25296,115,40
76,25801,116,40
77,26317,117,40
78,26843,118,40
79,27379,119,40
80,27926,120,40
81,27953,121,40
82,27980,122,40
83,28007,123,40
84,28035,124,40
85,28063,125,40
86,28091,126,40
87,28119,127,40
88,28147,128,40
89,28175,129,40
90,28203,130,40
91,28767,131,40
92,29342,132,40
93,29928,133,40
94,30526,134,40
95,31136,135,40
96,31758,136,40
97,32393,137,40
98,33040,138,40
99,33700,139,40
100,34374,140,40
101,35405,140,40
102,36467,141,40
103,37561,141,40
104,38687,142,40
105,39847,142,40
106,41042,143,40
107,42273,143,40
108,43541,144,40
109,44847,144,40
110,46192,145,40
111,46284,145,40
112,46376,146,40
113,46468,146,40
114,46560,147,40
115,46653,147,40
116,46746,148,40
117,46839,148,40
118,46932,149,40
119,47025,149,40
120,47119,150,40
121,49003,150,40
122,50963,151,40
123,53001,151,40
124,55121,152,40
125,57325,152,40
126,59618,153,40
127,62002,153,40
128,64482,154,40
129,67061,154,40
130,69743,155,40
131,72532,155,40
132,75433,156,40
133,78450,156,40
134,81588,157,40
135,84851,157,40
136,88245,158,40
137,91774,158,40
138,95444,159,40
139,99261,159,40
140,103231,160,40
141,103540,160,40
142,103850,161,40
143,104161,161,40
144,104473,162,40
145,104786,162,40
146,105100,163,40
147,105415,163,40
148,105731,164,40
149,106048,164,40
150,106366,165,40
151,110654,165,40
152,110958,166,40
153,111774,166,40
154,113102,167,40
155,114942,167,40
156,117294,168,40
157,120158,168,40
158,123534,169,40
159,127422,169,40
160,131822,170,40
161,136734,170,40
162,142158,171,40
163,148094,171,40
164,154542,172,40
165,161502,172,40
166,168974,173,40
167,176958,173,40
168,185454,174,40
169,194462,174,40
170,194584,175,40
171,194706,175,40
172,194828,176,40
173,194950,176,40
174,195072,177,40
175,195195,177,40
176,195318,178,40
177,195441,178,40
178,195564,179,40
179,195687,179,40
180,205207,180,40
181,215239,180,40
182,225783,181,40
183,236839,181,40
184,248407,182,40
185,260487,182,40
186,273079,183,40
187,286183,183,40
188,299799,184,40
189,313927,184,40
190,328567,185,40
191,343719,185,40
192,359383,186,40
193,375559,186,40
194,392247,187,40
195,409447,187,40
196,427159,188,40
197,445383,188,40
198,464119,189,40
199,483367,189,40
200,503127,190,40
201,505642,190,40
202,508170,191,40
203,510710,191,40
204,513263,192,40
205,515829,192,40
206,518408,193,40
207,521000,193,40
208,523605,194,40
209,526223,194,40
210,528854,195,40
211,565873,195,40
212,605484,196,40
213,647867,196,40
214,693217,197,40
215,741742,197,40
216,793663,198,40
217,849219,198,40
218,908664,199,40
219,972270,199,40
220,1040328,200,40
221,1113150,200,40
222,1191070,201,40
223,1274444,201,40
224,1363655,202,40
225,1459110,202,40
226,1561247,203,40
227,1670534,203,40
228,1787471,204,40
229,1912593,204,40
230,2046474,205,40
231,2058752,205,40
232,2071104,206,40
233,2083530,206,40
234,2096031,207,40
235,2108607,207,40
236,2121258,208,40
237,2133985,208,40
238,2146788,209,40
239,2159668,209,40
240,2172626,210,40
241,2346436,210,40
242,2534150,211,40
243,2736882,211,40
244,2955832,212,40
245,3192298,212,40
246,3447681,213,40
247,3723495,213,40
248,4021374,214,40
249,4343083,214,40
250,4690529,215,40
251,4703487,215,40
252,4716524,216,40
253,4729641,216,40
254,4742838,217,40
255,4756116,217,40
256,4769475,218,40
257,4782916,218,40
258,4796439,219,40
259,4810045,219,40
260,4823735,220,40
261,4837509,220,40
262,4851367,221,40
263,4865310,221,40
264,4879338,222,40
265,4893452,222,40
266,4907652,223,40
267,4921939,223,40
268,4936313,224,40
269,4950775,224,40
270,4965326,225,40
271,4979966,225,40
272,4994695,226,40
273,5009514,226,40
274,5024423,227,40
275,5039423,227,40
276,5054514,228,40
277,5069697,228,40
278,5084972,229,40
279,5100340,229,40
280,5115802,230,40
281,5131358,230,40
282,5147008,231,40
283,5162753,231,40
284,5178593,232,40
285,5194529,232,40
286,5210561,233,40
287,5226690,233,40
288,5242916,234,40
289,5259240,234,40
290,5275663,235,40
291,5292185,235,40
292,5308807,236,40
293,5325529,236,40
294,5342352,237,40
295,5359276,237,40
296,5376302,238,40
297,5393430,238,40
298,5410661,239,40
299,5427995,239,40
300,5445433,240,40
