Level,Gr 5,Gr 10,Gr 15,Gr 20,Gr 25,Gr 30
1,-,-,-,-,-,-
2,5,10,15,21,26,21
3,24,48,72,96,119,96
4,51,102,153,204,255,204
5,84,168,252,337,421,337
6,123,245,368,490,613,490
7,166,331,497,662,828,662
8,213,425,638,850,1063,850
9,263,527,790,1054,1317,1054
10,318,636,953,1271,1589,1271
11,375,751,1126,1502,1877,1502
12,436,872,1309,1745,2181,1745
13,500,1000,1500,2000,2500,2000
14,567,1133,1700,2266,2833,2266
15,636,1272,1908,2544,3180,2544
16,708,1416,2124,2831,3539,2831
17,782,1565,2347,3129,3912,3129
18,859,1718,2578,3437,4296,3437
19,938,1877,2815,3754,4692,3754
20,1020,2040,3060,4080,5100,4080
21,1104,2208,3312,4415,5519,4415
22,1190,2380,3569,4759,5949,4759
23,1278,2556,3834,5112,6390,5112
24,1368,2736,4104,5472,6841,5472
25,1460,2921,4381,5841,7302,5841
26,1555,3109,4664,6218,7773,6218
27,1651,3301,4952,6603,8253,6603
28,1749,3497,5246,6995,8743,6995
29,1849,3697,5546,7394,9243,7394
30,1950,3901,5851,7801,9752,7801
31,2054,4108,6162,8215,10269,8215
32,2159,4318,6478,8637,10796,8637
33,2266,4532,6799,9065,11331,9065
34,2375,4750,7125,9500,11875,9500
35,2485,4971,7456,9942,12427,9942
36,2598,5195,7793,10390,12988,10390
37,2711,5423,8134,10845,13556,10845
38,2827,5653,8480,11307,14133,11307
39,2944,5887,8831,11774,14718,11774
40,3062,6124,9186,12248,15311,12248
41,3182,6364,9547,12729,15911,12729
42,3304,6608,9911,13215,16519,13215
43,3427,6854,10281,13708,17135,13708
44,3552,7103,10655,14206,17758,14206
45,3678,7355,11033,14710,18388,14710
46,3805,7610,11415,15220,19026,15220
47,3934,7868,11802,15736,19671,15736
48,4065,8129,12194,16258,20323,16258
49,4196,8393,12589,16785,20982,16785
50,4330,8659,12989,17318,21648,17318
51,4464,8928,13392,17856,22321,17856
52,4600,9200,13800,18400,23000,18400
53,4737,9475,14212,18950,23687,18950
54,4876,9752,14628,19504,24380,19504
55,5016,10032,15048,20064,25080,20064
56,5157,10315,15472,20629,25786,20629
57,5300,10600,15900,21200,26499,21200
58,5444,10888,16331,21775,27219,21775
59,5589,11178,16767,22356,27945,22356
60,5735,11471,17206,22941,28677,22941
61,5883,11766,17649,23532,29415,23532
62,6032,12064,18096,24128,30160,24128
63,6182,12364,18546,24729,30911,24729
64,6334,12667,19001,25334,31668,25334
65,6486,12972,19458,25945,32431,25945
66,6640,13280,19920,26560,33200,26560
67,6795,13590,20385,27180,33975,27180
68,6951,13902,20853,27805,34756,27805
69,7109,14217,21326,28434,35543,28434
70,7267,14534,21801,29068,36335,29068
71,7427,14854,22280,29707,37134,29707
72,7588,15175,22763,30351,37938,30351
73,7750,15499,23249,30999,38748,30999
74,7913,15826,23738,31651,39564,31651
75,8077,16154,24231,32308,40386,32308
76,8242,16485,24727,32970,41212,32970
77,8409,16818,25227,33636,42045,33636
78,8577,17153,25730,34307,42883,34307
79,8745,17491,26236,34981,43727,34981
80,8915,17830,26745,35661,44576,35661
81,,18172,,,,36341
82,,18516,,,,37021
83,,18862,,,,37701
84,,19210,,,,38381
85,,19561,,,,39061
86,,19913,,,,39741
87,,20268,,,,40421
88,,20624,,,,41101
89,,20983,,,,41781
90,,21344,,,,42461
91,,21706,,,,43141
92,,22071,,,,43821
93,,22438,,,,44501
94,,22807,,,,45181
95,,23178,,,,45861
96,,23551,,,,46541
97,,23925,,,,47221
98,,24302,,,,47901
99,,24681,,,,48581
100,,25062,,,,49261
101,,,,,,-
102,,,,,,378273
103,,,,,,409796
104,,,,,,441319
105,,,,,,472842
106,,,,,,650584
107,,,,,,828326
108,,,,,,1006068
109,,,,,,1183810
110,,,,,,1361552
111,,,,,,1705958
112,,,,,,2050364
113,,,,,,2394770
114,,,,,,2739176
115,,,,,,3083582
116,,,,,,3785510
117,,,,,,4487438
118,,,,,,5189366
119,,,,,,5891294
120,,,,,,6593222
